id	titolo	conteggio	start_year	start_month	start_day	end_year	end_month	end_day
1	Alba sui rami nudi	1	1947	0	1	1950	0	1
2	Andato al comando	1	1945	1	1	1945	12	31
3	Angoscia in caserma	1	1945	1	1	1945	12	16
4	Attesa della morte in un albergo	1	1949	1	1	1949	7	30
5	Campo di mine	1	1946	1	1	1946	8	18
6	Chi ha messo la mina nel mare?	1	1948	1	1	1948	11	23
7	Come imparare a essere morto	1	1983	9	6	1983	9	13
8	Dal terrazzo	1	1982	11	21	1982	11	26
9	Del modersi la lingua	1	1975	1	1	1975	8	1
10	Del prendersela coi giovani	1	1975	1	1	1975	8	10
11	Desiderio in novembre	1	1949	1	1	1949	7	30
12	Di padre in figlio	1	1946	1	1	1946	4	28
13	Dollari e vecchie mondane	1	1947	1	1	1947	12	22
14	Dov'è più azzurro il fiume	1	1963	1	1	1963	11	24
15	Fino a che dura il Sole	2	1964	9	4	1964	9	7
16	Fino a che dura il Sole	2	1964	11	23	1964	11	23
17	Fumo, vento e bolle di sapone	1	1963	1	1	1963	11	10
18	Funghi in città	1	1952	1	1	1952	9	22
19	Furto in una pasticceria	1	1946	1	1	1946	12	31
20	Giochi senza fine	1	1964	9	26	1964	10	10
21	Gli amori delle tartarughe	1	1982	12	7	1982	12	8
22	Gli anni-luce	1	1965	8	18	1965	8	20
23	Gli avanguardisti a Mentone	1	1952	12	25	1953	1	18
24	I cristalli	1	1967	2	4	1967	2	11
25	I Dinosauri	1	1965	9	14	1965	9	23
26	I figli di Babbo Natale	1	1963	1	1	1963	11	23
27	I figli poltroni	1	1948	1	1	1948	1	8
28	I fratelli Bagnasco	1	1946	1	1	1946	9	22
29	I meteoriti	2	1965	9	10	1965	9	12
30	I meteoriti	2	1965	9	18	1965	9	18
31	I. Mitosi	1	1966	7	22	1966	7	29
32	II. Meiosi	1	1967	7	26	1967	8	15
33	III. Morte	1	1967	9	14	1967	9	17
34	Il bosco degli animali	1	1948	1	1	1948	4	20
35	Il bosco sull'autostrada	1	1953	1	1	1953	2	1
