id	title	type	file
S001	Passatempi	racconto	
S002	Dieci soldi in plastilina	racconto	
S003	Invece era un'altra	racconto	
S004	Angoscia in caserma	racconto	
S005	Andato al comando	racconto	
S006	Di padre in figlio	racconto	
S007	Paura sul sentiero	racconto	
S008	E il settimo si riposò	racconto	
S009	Uomo nei gerbidi	racconto	
S010	Campo di mine	racconto	
S011	I fratelli Bagnasco	racconto	
S012	Ragionamento del cugino	racconto	
S013	Cinque dopodomani: guerra finita!	racconto	
S014	Alba sui rami nudi	racconto	
S015	Come non fui Noè (Buon a nulla)	racconto	
S016	Ultimo viene il corvo	racconto	
S017	Visti alla mensa	racconto	
S018	L'occhio del padrone	racconto	
S019	Come un volo d'anitre	racconto	
S020	La fame a Bévera	racconto	
S021	Furto in una pasticceria	racconto	
S022	Un bastimento carico di granchi	racconto	
V001	Il sentiero dei nidi di ragno	romanzo	
S023	I figli poltroni	racconto	
S024	Il giardino incantato	racconto	
S025	Impiccagione di un giudice	racconto	
S026	Il bosco degli animali	racconto	
S027	Si dorme come cani	racconto	
S028	Com'era grande il mare	racconto	
S029	Il gatto e il poliziotto	racconto	
S030	Pranzo con un pastore	racconto	
S031	Voglia di mare	racconto	
S032	Isabella e Fioravanti	racconto	
S033	Chi ha messo la mina nel mare?	racconto	
S034	Dollari e vecchie mondane	racconto	
S035	Freddo a Napoli	racconto	
S036	Lasciare Anna	racconto	
S037	Un pomeriggio, Adamo	racconto	
S038	La casa degli alveari	racconto	
S039	La stessa cosa del sangue	racconto	
S040	Attesa della morte in un albergo	racconto	
S041	Uno dei tre è ancora vivo	racconto	
S042	L'avventura di un soldato	racconto	
S043	Desiderio in novembre	racconto	
V002	Ultimo viene il corvo	raccolta	
S044	Lettera ad Amelia sui dischi volanti	racconto	
S045	Storia del soldato che portò il cannone a casa	racconto	
S046	Pesci grossi, pesci piccoli	racconto	
S047	Cimitero di biciclette	racconto	
S048	Mai nessuno degli uomini lo seppe	racconto	
S049	Il reggimento smarrito	racconto	
S050	L'avventura di una bagnante	racconto	
V003	Il visconte dimezzato	ibrido	
S051	Un compagno venuto da lontano	racconto	
S052	Un bel gioco dura poco	racconto	
S053	Funghi in città	racconto	
S054	La formica argentina	racconto	
S055	Il piccione comunale	racconto	
S056	La pietanziera	racconto	
S057	Gli occhi del nemico	racconto	
S058	La fabbrica occupata	racconto	
S059	La ragazza licenziata	racconto	
S060	Le disgrazie di un paese	racconto	
S061	Il bosco sull'autostrada	racconto	
S062	La cura delle vespe	racconto	
S063	La storia di Kim-Ghi-U	racconto	
S064	Paese infido	racconto	
S065	Gli avanguardisti a Mentone	racconto	
S066	L'aria buona	racconto	
S067	L'entrata in guerra	racconto	
S068	L'avventura di un impiegato	racconto	
S069	Un paese disgraziato	racconto	
S070	Il generale in biblioteca	racconto	
S071	La fabbrica nella montagna	racconto	
S072	Le notti dell'UNPA	racconto	
V004	L'entrata in guerra	raccolta	
