Fonte,H3 Parte di ,categoria H3,Id H3,H2,Categoria H2,Id H2,H1 Occorrenza,Categoria H1,Id H1,H0,categoria H0,Id H0
S001,strapiombo,generico_terrestre,L00000,,,,,,,,,
S001,piazza,generico_terrestre,L00001,,,,,,,,,
S001,bar,generico_terrestre,L00002,,,,,,,,,
S002,casa,generico_terrestre,L00003,,,,,,,,,
S003,prato,generico_terrestre,L00004,,,,,,,,,
S004,caserma,generico_terrestre,L00005,,,,,,,,,
S004,alberghetto,generico_terrestre,L00006,,,,,,,,,
S004,paese,generico_terrestre,L00007,,,,,,,,,
S004,collina,generico_terrestre,L00008,,,,,,,,,
S005,bosco,generico_terrestre,L00009,,,,,,,,,
S005,bosco,generico_terrestre,L00009,radura,generico_terrestre,L00010,,,,,,
S005,bosco,generico_terrestre,L00009,brughiera,generico_terrestre,L00011,,,,,,
S006,vallata,generico_terrestre,L00012,,,,,,,,,
S006,vallata,generico_terrestre,L00012,stalla,generico_terrestre,L00013,,,,,,
S007,Colla Bracca,nominato_terrestre,L00014,,,,,,,,,
S007,San Faustino,nominato_terrestre,L00015,,,,,,,,,
S007,Perallo,nominato_terrestre,L00016,,,,,,,,,
S007,Creppo,nominato_terrestre,L00017,,,,,,,,,
S007,Castagna,nominato_terrestre,L00018,,,,,,,,,
S007,vallate,generico_terrestre,L00019,,,,,,,,,
S007,Tumena (Val),nominato_terrestre,L00020,,,,,,,,,
S007,bosco,generico_terrestre,L00021,,,,,,,,,
S007,Castagna,nominato_terrestre,L00018,casolare,generico_terrestre,L00022,,,,,,
S008,impalcature (casa in costruzione),generico_terrestre,L00023,,,,,,,,,
S008,campagna,generico_terrestre,L00024,,,,,,,,,
S008,vallata,generico_terrestre,L00025,,,,,,,,,
S008,periferia,generico_terrestre,L00026,,,,,,,,,
S008,periferia,generico_terrestre,L00026,pista da ballo,generico_terrestre,L00027,,,,,,
S008,periferia,generico_terrestre,L00026,giardinetti,generico_terrestre,L00028,,,,,,
S009,Colla Bella,nominato_terrestre,L00029,,,,,,,,,
S010,montagna,generico_terrestre,L00030,,,,,,,,,
S010,montagna,generico_terrestre,L00030,sentieri,generico_terrestre,L00031,,,,,,
S010,montagna,generico_terrestre,L00030,vallone,generico_terrestre,L00032,,,,,,
S011,casa,generico_terrestre,L00033,,,,,,,,,
S011,mulattiera,generico_terrestre,L00034,,,,,,,,,
S011,osteria,generico_terrestre,L00035,,,,,,,,,
S011,campo,generico_terrestre,L00036,,,,,,,,,
S011,chiesa S. Cosimo e Damiano,nominato_terrestre,L00037,,,,,,,,,
S012,mare,generico_terrestre,L00038,,,,,,,,,
S012,Sette Pennelli,nominato_terrestre,L00039,,,,,,,,,
S013,casone,generico_terrestre,L00040,,,,,,,,,
S014,campagna,generico_terrestre,L00045,casolare,generico_terrestre,L00043,frutteto,generico_terrestre,L00041,,,
S014,Paraggio,nominato_terrestre,L00042,,,,,,,,,
S014,campagna,generico_terrestre,L00045,casolare,generico_terrestre,L00043,,,,,,
S014,campagna,generico_terrestre,L00045,mulattiera,generico_terrestre,L00044,,,,,,
S014,campagna,generico_terrestre,L00045,,,,,,,,,
S015,città,generico_terrestre,L00050,via,generico_terrestre,L00046,,,,,,
S015,città,generico_terrestre,L00050,crocicchio,generico_terrestre,L00047,,,,,,
S015,città,generico_terrestre,L00050,strada,generico_terrestre,L00048,,,,,,
S015,città,generico_terrestre,L00050,piazza,generico_terrestre,L00049,,,,,,
S015,città,generico_terrestre,L00050,,,,,,,,,
S016,(corso d') acqua,generico_terrestre,L00051,,,,,,,,,
S016,valle,generico_terrestre,L00052,,,,,,,,,
S016,baita,generico_terrestre,L00053,,,,,,,,,
S016,prati,generico_terrestre,L00054,,,,,,,,,
S016,strada,generico_terrestre,L00055,,,,,,,,,
S016,bosco,generico_terrestre,L00056,,,,,,,,,
S016,valletta,generico_terrestre,L00057,,,,,,,,,
S016,radura,generico_terrestre,L00058,,,,,,,,,
S017,Torino (città),nominato_terrestre,L00059,,,,,,,,,
S017,Torino (città),nominato_terrestre,L00059,mensa,generico_terrestre,L00060,,,,,,
S018,vallata,generico_terrestre,L00062,vigna,generico_terrestre,L00061,,,,,,
S018,vallata,generico_terrestre,L00062,,,,,,,,,
S018,vallata,generico_terrestre,L00062,fascia,generico_terrestre,L00063,,,,,,
S019,caserma,generico_terrestre,L00066,celle,generico_terrestre,L00064,,,,,,
S019,accampamento,generico_terrestre,L00065,,,,,,,,,
S019,caserma,generico_terrestre,L00066,,,,,,,,,
S019,villette,generico_terrestre,L00067,,,,,,,,,
S019,montagna,generico_terrestre,L00068,,,,,,,,,
S019,montagna,generico_terrestre,L00068,valle,generico_terrestre,L00069,,,,,,
S020,Val Bévera,nominato_terrestre,L00070,,,,,,,,,
S020,Val Bévera,nominato_terrestre,L00070,strada,generico_terrestre,L00071,,,,,,
