id,generico_non_terrestre,generico_terrestre,inventato,no_ambientazione,nominato_non_terrestre,nominato_terrestre,pct_nebbia_normalizzata,pct_cancellazione_normalizzata,pct_nebbia,pct_cancellazione,norma_pct_caratteri_nebbia_cancellazione
S001,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S002,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S003,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S004,0.00,1.00,0.00,0.00,0.00,0.00,0.1771230754,0,100,0,0.145752883563875
S005,0.00,1.00,0.00,0.00,0.00,0.00,0.1099460536,0.3015785175,33.33333333,66.66666667,0.392052072735026
S006,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S007,0.00,0.25,0.00,0.00,0.00,0.75,0,0.1196814633,0,100,0.119681463278066
S008,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S009,0.00,0.00,0.00,0.00,0.00,1.00,0.2754954005,0,100,0,0.22670252845555
S010,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S011,0.00,0.80,0.00,0.00,0.00,0.20,0,0,0,0,0
S012,0.00,0.50,0.00,0.00,0.00,0.50,0,0,0,0,0
S013,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S014,0.00,0.83,0.00,0.00,0.00,0.17,0,0,0,0,0
S015,0.00,1.00,0.00,0.00,0.00,0.00,0,0.1746763353,0,100,0.174676335292846
S016,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S017,0.00,0.67,0.00,0.00,0.00,0.33,0,0,0,0,0
S018,0.00,1.00,0.00,0.00,0.00,0.00,0,0.1566931609,0,100,0.156693160954837
S019,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S020,0.00,0.50,0.00,0.00,0.00,0.50,0,0,0,0,0
S021,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S022,0.00,0.50,0.00,0.00,0.00,0.50,0,0.1591765878,0,100,0.159176587794117
S023,0.00,0.67,0.00,0.00,0.00,0.33,0,0,0,0,0
S024,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S025,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S026,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S027,0.00,0.75,0.00,0.00,0.00,0.25,0.1187406024,0,100,0,0.097710505263425
S028,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S029,0.00,0.75,0.00,0.00,0.00,0.25,0,0,0,0,0
S030,0.00,1.00,0.00,0.00,0.00,0.00,0.08032598912,0,100,0,0.066099487683443
S031,0.00,0.50,0.00,0.00,0.00,0.50,0,0,0,0,0
S032,0.00,0.83,0.17,0.00,0.00,0.00,0,0,0,0,0
S033,0.00,0.71,0.29,0.00,0.00,0.00,0,0,0,0,0
S034,0.00,0.40,0.40,0.00,0.00,0.20,0,0,0,0,0
S035,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,0,0
S036,0.00,0.80,0.00,0.00,0.00,0.20,0,0,0,0,0
S037,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S038,0.00,1.00,0.00,0.00,0.00,0.00,0,0.276333818,0,100,0.276333818050025
S039,0.00,0.75,0.00,0.00,0.00,0.25,0,0.2549693451,0,100,0.25496934513328
S040,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S041,0.00,0.88,0.00,0.00,0.00,0.13,0,0,0,0,0
S042,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S043,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S044,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S045,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S046,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S047,0.00,1.00,0.00,0.00,0.00,0.00,0.1080318564,0,100,0,0.08889838072503
S048,0.00,0.83,0.00,0.00,0.00,0.17,0.07661641226,0,100,0,0.08889838072503
S049,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S050,0.00,0.67,0.00,0.00,0.00,0.33,0,0,0,0,0
S051,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S052,0.00,1.00,0.00,0.00,0.00,0.00,0,0.303739325,0,100,0.303739325040503
S053,0.00,1.00,0.00,0.00,0.00,0.00,0,0.2665975417,0,100,0.266597541739529
S054,0.00,1.00,0.00,0.00,0.00,0.00,0.0160057062,0,100,0,0.013170942451214
S055,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S056,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S057,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S058,0.00,0.78,0.00,0.00,0.00,0.22,0.1981824404,0,100,0,0.163082433477805
S059,0.00,1.00,0.00,0.00,0.00,0.00,0.2903664307,0.199116464,66.66666667,33.33333333,0.438056220875711
S060,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S061,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
