id,generico_non_terrestre,generico_terrestre,inventato,no_ambientazione,nominato_non_terrestre,nominato_terrestre,pct_nebbia_normalizzata,pct_cancellazione_normalizzata,pct_nebbia,pct_cancellazione,norma_pct_caratteri_nebbia_cancellazione,nebbia_words_ratio,cancellazione_words_ratio,dubitative_ratio,n_lists_f,n_lists_m,n_lists_p,n_lists_s,text_length
S001,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
S002,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,36,228,4066
S003,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
S004,0.00,1.00,0.00,0.00,0.00,0.00,0.18,0,100,0,0.15,0.18,0,0.07,4403,315,154,1307,19473
S005,0.00,1.00,0.00,0.00,0.00,0.00,0.11,0.3,33.33,66.67,0.39,0.06,0.06,0.07,0,0,0,0,0
S006,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,556,0,0,0,8291
S007,0.00,0.33,0.00,0.00,0.00,0.67,0,0.12,0,100,0.12,0,0.03,0.02,712,147,0,139,13175
S008,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,227,137,317,12532
S009,0.00,0.00,0.00,0.00,0.00,1.00,0.28,0,100,0,0.23,0.12,0,0.05,0,0,73,108,9042
S010,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,132,173,0,157,9702
S011,0.00,0.80,0.00,0.00,0.00,0.20,0,0,0,0,0,0,0,0,532,0,0,86,9240
S012,0.00,0.50,0.00,0.00,0.00,0.50,0,0,0,0,0,0,0,0,0,125,165,0,7490
S013,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,520,0,131,184,7287
S014,0.00,0.80,0.00,0.00,0.00,0.20,0,0,0,0,0,0,0,0,0,0,0,252,13871
S015,0.00,1.00,0.00,0.00,0.00,0.00,0,0.17,0,100,0.17,0,0.03,0.02,439,0,0,0,9027
S016,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,218,0,193,194,10809
S017,0.00,0.50,0.00,0.00,0.00,0.50,0,0,0,0,0,0,0,0,0,144,0,0,8658
S018,0.00,1.00,0.00,0.00,0.00,0.00,0,0.16,0,100,0.16,0,0.03,0.02,1378,0,0,0,10063
S019,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,768,0,103,0,11326
S020,0.00,0.50,0.00,0.00,0.00,0.50,0,0,0,0,0,0,0,0,0,0,0,101,11391
S021,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,155,115,14106
S022,0.00,0.80,0.00,0.00,0.00,0.20,0,0.16,0,100,0.16,0,0.03,0.02,0,0,112,200,9906
S023,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,251,137,165,0,9860
S024,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,133,8487
S025,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,643,0,48,741,15971
S026,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,823,0,0,0,15495
S027,0.00,0.75,0.00,0.00,0.00,0.25,0.12,0,100,0,0.1,0.06,0,0.02,0,0,0,0,0
S028,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,43,0,3554
S029,0.00,0.67,0.00,0.00,0.00,0.33,0,0,0,0,0,0,0,0,338,0,0,574,12933
S030,0.00,1.00,0.00,0.00,0.00,0.00,0.08,0,100,0,0.07,0.06,0,0.02,349,0,0,0,14313
S031,0.00,0.50,0.00,0.00,0.00,0.50,0,0,0,0,0,0,0,0,0,0,31,110,5327
S032,0.00,0.83,0.17,0.00,0.00,0.00,0,0,0,0,0,0,0,0,489,0,173,0,9727
S033,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,283,10473
S034,0.00,0.40,0.00,0.00,0.00,0.60,0,0,0,0,0,0,0,0,1664,0,0,0,21698
S035,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,0,0,0,0,0,568,0,67,221,8005
S036,0.00,0.75,0.00,0.00,0.00,0.25,0,0,0,0,0,0,0,0,640,0,78,224,9089
S037,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,251,0,0,0,16625
S038,0.00,1.00,0.00,0.00,0.00,0.00,0,0.28,0,100,0.28,0,0.03,0.02,0,0,0,421,7418
S039,0.00,0.75,0.00,0.00,0.00,0.25,0,0.25,0,100,0.25,0,0.06,0.05,175,93,0,150,12987
S040,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
S041,0.00,0.83,0.17,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,98,0,14887
S042,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
S043,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,634,0,0,291,14101
S044,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,336,0,0,0,7633
S045,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,626,122,0,0,11610
S046,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,147,0,106,236,16862
S047,0.00,1.00,0.00,0.00,0.00,0.00,0.11,0,100,0,0.09,0.06,0,0.02,0,0,45,0,12416
S048,0.00,0.82,0.00,0.00,0.00,0.18,0.08,0,100,0,0.09,0.06,0,0.02,510,155,0,115,15006
S049,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,583,250,0,428,10193
