ID_volume,titolo volume,ID_racconto,titolo racconto,anno,mese,tot caratteri,start_motivo,end_motivo,progresione,motivo_type,modulo_type,
,,S001,Passatempi,1943,4,2158,1,10,1,titolo,,
,,S001,Passatempi,1943,4,2158,11,183,1,incontro di gruppo,,1
,,S001,Passatempi,1943,4,2158,184,295,1,morte,,1
,,S001,Passatempi,1943,4,2158,296,849,1,scommessa,,1
,,S001,Passatempi,1943,4,2158,850,956,1,arrivo/ritorno,,1
,,S001,Passatempi,1943,4,2158,957,1391,1,scommessa,,1
,,S001,Passatempi,1943,4,2158,1392,1635,1,successo,,1
,,S001,Passatempi,1943,4,2158,1636,1971,1,morte,,1
,,S001,Passatempi,1943,4,2158,1972,2158,1,arrivo/ritorno,,1
,,S002,Dieci soldi in plastilina,1943,4,4060,1,25,1,titolo,,
,,S002,Dieci soldi in plastilina,1943,4,4060,26,774,1,situazione,,1
,,S002,Dieci soldi in plastilina,1943,4,4060,775,1246,1,cambiamento,,1
,,S002,Dieci soldi in plastilina,1943,4,4060,1247,1669,1,iniziativa/piano,,1
,,S002,Dieci soldi in plastilina,1943,4,4060,1670,2383,1,smarrimento/dubbio,,1
,,S002,Dieci soldi in plastilina,1943,4,4060,2384,3289,1,illusione/speranza,,1
,,S002,Dieci soldi in plastilina,1943,4,4060,3290,3544,1,angoscia/delusione,,1
,,S002,Dieci soldi in plastilina,1943,4,4060,3545,3912,1,aggressione/scontro,,1
,,S002,Dieci soldi in plastilina,1943,4,4060,3913,4012,1,cambiamento,,1
,,S002,Dieci soldi in plastilina,1943,4,4060,4013,4060,1,situazione,,1
,,S003,Invece era un'altra,1943,4,980,1,19,1,titolo,,
,,S003,Invece era un'altra,1943,4,980,20,382,1,angoscia/delusione,,1
,,S003,Invece era un'altra,1943,4,980,383,619,1,smarrimento/dubbio,,1
,,S003,Invece era un'altra,1943,4,980,620,648,1,angoscia/delusione,,1
,,S003,Invece era un'altra,1943,4,980,649,810,1,smarrimento/dubbio,,1
,,S003,Invece era un'altra,1943,4,980,811,980,1,situazione,,1
V002,Ultimo viene il corvo,S004,Angoscia in caserma,1945,12,19473,1,19,1,titolo,,
V002,Ultimo viene il corvo,S004,Angoscia in caserma,1945,12,19473,20,1524,1,visione,,1
V002,Ultimo viene il corvo,S004,Angoscia in caserma,1945,12,19473,1525,2152,1,iniziativa/piano,,1
V002,Ultimo viene il corvo,S004,Angoscia in caserma,1945,12,19473,2153,2419,1,visione,,1
V002,Ultimo viene il corvo,S004,Angoscia in caserma,1945,12,19473,2420,2802,1,riflessione,,1
V002,Ultimo viene il corvo,S004,Angoscia in caserma,1945,12,19473,2803,3616,1,angoscia/delusione,,1
V002,Ultimo viene il corvo,S004,Angoscia in caserma,1945,12,19473,3617,4206,1,incontro di gruppo,,1
V002,Ultimo viene il corvo,S004,Angoscia in caserma,1945,12,19473,4207,4544,1,angoscia/delusione,,1
V002,Ultimo viene il corvo,S004,Angoscia in caserma,1945,12,19473,4545,5261,1,incontro di gruppo,,1
V002,Ultimo viene il corvo,S004,Angoscia in caserma,1945,12,19473,5262,7024,1,incontro di gruppo,,1
V002,Ultimo viene il corvo,S004,Angoscia in caserma,1945,12,19473,7025,7486,1,angoscia/delusione,,1
V002,Ultimo viene il corvo,S004,Angoscia in caserma,1945,12,19473,7487,8344,1,iniziativa/piano,,1
V002,Ultimo viene il corvo,S004,Angoscia in caserma,1945,12,19473,8345,12073,1,visione,,1
V002,Ultimo viene il corvo,S004,Angoscia in caserma,1945,12,19473,12074,12483,1,angoscia/delusione,,1
V002,Ultimo viene il corvo,S004,Angoscia in caserma,1945,12,19473,12484,14062,1,smarrimento/dubbio,,1
V002,Ultimo viene il corvo,S004,Angoscia in caserma,1945,12,19473,14063,15616,1,attesa,,1
V002,Ultimo viene il corvo,S004,Angoscia in caserma,1945,12,19473,15617,16703,1,rivelazione,,1
V002,Ultimo viene il corvo,S004,Angoscia in caserma,1945,12,19473,16704,17984,1,visione,,1
V002,Ultimo viene il corvo,S004,Angoscia in caserma,1945,12,19473,17985,18670,1,fuga,,1
V002,Ultimo viene il corvo,S004,Angoscia in caserma,1945,12,19473,18671,19473,1,illusione/speranza,,1
V002,Ultimo viene il corvo,S005,Andato al comando,1946,1,10457,1,17,1,titolo,,
V002,Ultimo viene il corvo,S005,Andato al comando,1946,1,10457,18,219,1,viaggio,,1
V002,Ultimo viene il corvo,S005,Andato al comando,1946,1,10457,220,1636,1,smarrimento/dubbio,,1
V002,Ultimo viene il corvo,S005,Andato al comando,1946,1,10457,1637,2343,1,riflessione,,1
V002,Ultimo viene il corvo,S005,Andato al comando,1946,1,10457,2344,3469,1,smarrimento/dubbio,,1
V002,Ultimo viene il corvo,S005,Andato al comando,1946,1,10457,3470,4077,1,riflessione,,1
V002,Ultimo viene il corvo,S005,Andato al comando,1946,1,10457,4078,4812,1,smarrimento/dubbio,,1
V002,Ultimo viene il corvo,S005,Andato al comando,1946,1,10457,4813,5315,1,riflessione,,1
V002,Ultimo viene il corvo,S005,Andato al comando,1946,1,10457,5316,5498,1,smarrimento/dubbio,,1
V002,Ultimo viene il corvo,S005,Andato al comando,1946,1,10457,5499,7996,1,riflessione,,1
V002,Ultimo viene il corvo,S005,Andato al comando,1946,1,10457,7997,8856,1,smarrimento/dubbio,,1
V002,Ultimo viene il corvo,S005,Andato al comando,1946,1,10457,8857,9287,1,riflessione,,1
V002,Ultimo viene il corvo,S005,Andato al comando,1946,1,10457,9288,9938,1,smarrimento/dubbio,,1
V002,Ultimo viene il corvo,S005,Andato al comando,1946,1,10457,9939,10457,1,morte,,1
V002,Ultimo viene il corvo,S006,Di padre in figlio,1946,4,8291,1,18,1,titolo,,
